1,B-ID-1,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Old,NationalLanguage,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiRussia,[]
1,B-ID-2,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,Russian,Lithuanian,Center,UpperClass,AntiEU,ProNATOAntiRussia,['Facebook']
1,B-ID-3,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,NotApplicable,Both,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['TV3 (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)', 'Facebook']"
1,B-ID-4,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Undecided,LowerClass,AntiEU,AntiNATOProRussia,[]
1,B-ID-5,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Undecided,MiddleClass,ProEU,Neutral,"['Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)']"
1,B-ID-6,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Right,LowerClass,AntiEU,ProNATOAntiRussia,[]
1,B-ID-7,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Old,NationalLanguage,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,['TV3 (tv3.lt)']
1,B-ID-8,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Young,NationalLanguage,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiRussia,"['Delfi (delfi.lt)', 'Facebook']"
1,B-ID-9,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,Both,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi (delfi.lt)']"
1,B-ID-10,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,Both,Russian,Left,MiddleClass,Undecided,ProNATOAntiRussia,"['Delfi (delfi.lt)', 'Facebook']"
1,B-ID-11,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,NationalLanguage,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiRussia,['Lietus Radio (lietus.fm)']
1,B-ID-12,basic-agents,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,Both,Lithuanian,Right,UpperClass,Undecided,Undecided,[]
1,B-ID-13,basic-agents,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLanguage,Polish,Undecided,MiddleClass,ProEU,ProNATOAntiRussia,['Delfi (delfi.lt)']
1,B-ID-14,basic-agents,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLanguage,Polish,Undecided,MiddleClass,ProEU,Neutral,[]
1,B-ID-15,basic-agents,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLanguage,Polish,Center,LowerClass,AntiEU,AntiNATOProRussia,[]
1,B-ID-16,basic-agents,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Young,Both,Polish,Undecided,UpperClass,ProEU,ProNATOAntiRussia,[]
1,B-ID-17,basic-agents,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,Both,Polish,Right,UpperClass,ProEU,Undecided,[]
